1/727 infeasible 0.2s (3, 3) r1c1-r1c2-r1c3-r1c4-r1c5-r1c6
2/727 infeasible 0.2s (4, 2) r1c1-r1c2-r2c2-r3c2-r4c2-r4c1
3/727 infeasible 0.2s (4, 2) r1c1-r1c2-r2c2-r3c2-r4c2-r4c3
4/727 infeasible 0.2s (4, 2) r1c1-r1c2-r2c2-r3c2-r4c2-r5c2
5/727 infeasible 0.2s (4, 2) r1c1-r2c1-r2c2-r3c2-r4c2-r4c1
6/727 infeasible 0.2s (4, 2) r1c1-r2c1-r2c2-r3c2-r4c2-r4c3
7/727 infeasible 0.2s (4, 2) r1c1-r2c1-r2c2-r3c2-r4c2-r5c2
8/727 infeasible 0.2s (4, 2) r1c1-r2c1-r3c1-r3c2-r4c2-r4c1
9/727 infeasible 0.2s (4, 2) r1c1-r2c1-r3c1-r3c2-r4c2-r4c3
10/727 infeasible 0.2s (4, 2) r1c1-r2c1-r3c1-r3c2-r4c2-r5c2
11/727 infeasible 0.2s (3, 3) r1c1-r2c1-r3c1-r4c1-r4c2-r4c3
12/727 infeasible 0.2s (3, 3) r1c1-r2c1-r3c1-r4c1-r4c2-r5c2
13/727 infeasible 0.2s (3, 3) r1c1-r2c1-r3c1-r4c1-r5c1-r5c2
14/727 infeasible 0.2s (3, 3) r1c1-r2c1-r3c1-r4c1-r5c1-r6c1
15/727 infeasible 0.2s (4, 2) r1c2-r1c1-r2c1-r3c1-r4c1-r4c2
16/727 infeasible 0.2s (4, 2) r1c2-r1c1-r2c1-r3c1-r4c1-r5c1
17/727 infeasible 0.2s (2, 4) r1c2-r1c3-r1c4-r1c5-r1c6-r2c6
18/727 infeasible 0.2s (4, 2) r1c2-r2c2-r2c1-r3c1-r4c1-r4c2
19/727 infeasible 0.2s (4, 2) r1c2-r2c2-r2c1-r3c1-r4c1-r5c1
20/727 infeasible 0.2s (4, 2) r1c2-r2c2-r3c2-r3c1-r4c1-r4c2
21/727 infeasible 0.2s (4, 2) r1c2-r2c2-r3c2-r3c1-r4c1-r5c1
22/727 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r4c1-r5c1
23/727 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r4c3-r5c3
24/727 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r5c2-r5c1
25/727 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r5c2-r5c3
26/727 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r5c2-r6c2
27/727 infeasible 0.2s (4, 2) r1c3-r1c2-r2c2-r3c2-r4c2-r4c1
28/727 infeasible 0.2s (4, 2) r1c3-r1c2-r2c2-r3c2-r4c2-r4c3
29/727 infeasible 0.2s (4, 2) r1c3-r1c2-r2c2-r3c2-r4c2-r5c2
30/727 infeasible 0.0s (1, 4, 1) r1c3-r1c4-r1c5-r1c6-r2c6-r2c7
31/727 infeasible 0.2s (1, 4, 1) r1c4-r1c3-r1c2-r2c2-r3c2-r4c2
32/727 infeasible 0.3s (3, 3) r1c4-r1c5-r1c6-r1c7-r1c8-r1c9
33/727 infeasible 0.4s (3, 3) r1c4-r1c5-r1c6-r1c7-r1c8-r2c8
34/727 infeasible 0.4s (3, 3) r1c4-r1c5-r1c6-r1c7-r2c7-r2c8
35/727 infeasible 0.2s (3, 3) r1c4-r1c5-r1c6-r1c7-r2c7-r3c7
36/727 infeasible 0.2s (4, 2) r1c4-r1c5-r1c6-r2c6-r2c7-r1c7
37/727 infeasible 0.2s (4, 2) r1c4-r1c5-r1c6-r2c6-r2c7-r2c8
38/727 infeasible 0.2s (4, 2) r1c4-r1c5-r1c6-r2c6-r2c7-r3c7
39/727 infeasible 0.2s (2, 4) r1c5-r1c4-r1c3-r1c2-r1c1-r2c1
40/727 infeasible 0.2s (2, 4) r1c5-r1c4-r1c3-r1c2-r2c2-r2c1
41/727 infeasible 0.2s (2, 4) r1c5-r1c4-r1c3-r1c2-r2c2-r3c2
42/727 infeasible 0.3s (2, 4) r1c5-r1c6-r1c7-r1c8-r1c9-r2c9
43/727 infeasible 0.3s (2, 4) r1c5-r1c6-r1c7-r1c8-r2c8-r2c7
44/727 infeasible 0.3s (2, 4) r1c5-r1c6-r1c7-r1c8-r2c8-r2c9
45/727 infeasible 0.3s (2, 4) r1c5-r1c6-r1c7-r1c8-r2c8-r3c8
46/727 infeasible 0.3s (2, 4) r1c5-r1c6-r1c7-r2c7-r2c8-r1c8
47/727 infeasible 0.2s (2, 4) r1c5-r1c6-r1c7-r2c7-r2c8-r2c9
48/727 infeasible 0.3s (2, 4) r1c5-r1c6-r1c7-r2c7-r2c8-r3c8
49/727 infeasible 0.2s (2, 4) r1c5-r1c6-r1c7-r2c7-r3c7-r3c8
50/727 infeasible 0.2s (3, 3) r1c5-r1c6-r2c6-r2c7-r1c7-r1c8
51/727 infeasible 0.3s (3, 3) r1c5-r1c6-r2c6-r2c7-r2c8-r1c8
52/727 infeasible 0.3s (3, 3) r1c5-r1c6-r2c6-r2c7-r2c8-r2c9
53/727 infeasible 0.3s (3, 3) r1c5-r1c6-r2c6-r2c7-r2c8-r3c8
54/727 infeasible 0.3s (3, 3) r1c5-r1c6-r2c6-r2c7-r3c7-r3c8
55/727 infeasible 0.2s (4, 2) r1c5-r1c6-r2c6-r3c6-r3c7-r2c7
56/727 infeasible 0.2s (4, 2) r1c5-r1c6-r2c6-r3c6-r3c7-r3c8
57/727 infeasible 0.2s (3, 3) r1c6-r1c5-r1c4-r1c3-r1c2-r2c2
58/727 infeasible 0.2s (1, 4, 1) r1c6-r1c7-r1c8-r2c8-r2c7-r2c6
59/727 FEASIBLE 0.3s (1, 4, 1) r1c6-r1c7-r1c8-r2c8-r3c8-r4c8
60/727 FEASIBLE 1.0s (1, 4, 1) r1c6-r1c7-r2c7-r2c8-r3c8-r4c8
61/727 FEASIBLE 0.3s (1, 4, 1) r1c6-r1c7-r2c7-r3c7-r3c8-r4c8
62/727 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r1c7-r1c8-r1c9
63/727 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r1c7-r1c8-r2c8
64/727 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r2c8-r1c8-r1c7
65/727 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r2c8-r1c8-r1c9
66/727 infeasible 0.2s (2, 4) r1c6-r2c6-r2c7-r2c8-r2c9-r1c9
67/727 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r2c8-r2c9-r3c9
68/727 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r2c8-r3c8-r3c7
69/727 infeasible 0.2s (2, 4) r1c6-r2c6-r2c7-r2c8-r3c8-r3c9
70/727 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r3c7-r3c8-r2c8
71/727 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r3c7-r3c8-r3c9
72/727 infeasible 0.2s (3, 3) r1c6-r2c6-r3c6-r3c7-r2c7-r1c7
73/727 infeasible 0.4s (3, 3) r1c6-r2c6-r3c6-r3c7-r2c7-r2c8
74/727 infeasible 0.2s (3, 3) r1c6-r2c6-r3c6-r3c7-r3c8-r2c8
75/727 infeasible 0.3s (3, 3) r1c6-r2c6-r3c6-r3c7-r3c8-r3c9
76/727 infeasible 0.2s (4, 2) r1c7-r1c8-r2c8-r2c7-r2c6-r3c6
77/727 FEASIBLE 0.4s (4, 2) r1c7-r1c8-r2c8-r3c8-r4c8-r4c9
78/727 infeasible 1.3s (4, 2) r1c7-r1c8-r2c8-r3c8-r4c8-r5c8
79/727 FEASIBLE 0.8s (4, 2) r1c7-r2c7-r2c8-r3c8-r4c8-r4c9
80/727 FEASIBLE 0.3s (4, 2) r1c7-r2c7-r2c8-r3c8-r4c8-r5c8
81/727 FEASIBLE 0.5s (4, 2) r1c7-r2c7-r3c7-r3c8-r4c8-r4c9
82/727 FEASIBLE 0.4s (4, 2) r1c7-r2c7-r3c7-r3c8-r4c8-r5c8
83/727 infeasible 0.2s (4, 2) r1c8-r1c7-r2c7-r3c7-r3c6-r2c6
84/727 FEASIBLE 0.7s (4, 2) r1c8-r1c9-r2c9-r3c9-r4c9-r4c8
85/727 FEASIBLE 0.4s (4, 2) r1c8-r1c9-r2c9-r3c9-r4c9-r5c9
86/727 infeasible 0.2s (4, 2) r1c8-r2c8-r2c7-r1c7-r1c6-r2c6
87/727 infeasible 0.3s (4, 2) r1c8-r2c8-r2c7-r3c7-r3c6-r2c6
88/727 FEASIBLE 0.3s (4, 2) r1c8-r2c8-r2c9-r3c9-r4c9-r4c8
89/727 FEASIBLE 1.1s (4, 2) r1c8-r2c8-r2c9-r3c9-r4c9-r5c9
90/727 infeasible 0.3s (4, 2) r1c8-r2c8-r3c8-r3c7-r3c6-r2c6
91/727 FEASIBLE 0.4s (4, 2) r1c8-r2c8-r3c8-r3c9-r4c9-r4c8
92/727 FEASIBLE 0.4s (4, 2) r1c8-r2c8-r3c8-r3c9-r4c9-r5c9
93/727 FEASIBLE 0.5s (3, 3) r1c8-r2c8-r3c8-r4c8-r4c9-r5c9
94/727 FEASIBLE 0.4s (3, 3) r1c8-r2c8-r3c8-r4c8-r5c8-r5c9
95/727 infeasible 0.3s (3, 3) r1c8-r2c8-r3c8-r4c8-r5c8-r6c8
96/727 infeasible 0.3s (3, 3) r1c9-r1c8-r1c7-r1c6-r2c6-r3c6
97/727 infeasible 0.3s (4, 2) r1c9-r1c8-r1c7-r2c7-r2c6-r3c6
98/727 infeasible 0.2s (4, 2) r1c9-r1c8-r2c8-r2c7-r2c6-r3c6
99/727 FEASIBLE 0.7s (4, 2) r1c9-r1c8-r2c8-r3c8-r4c8-r4c9
100/727 FEASIBLE 0.8s (4, 2) r1c9-r1c8-r2c8-r3c8-r4c8-r5c8
101/727 infeasible 0.2s (4, 2) r1c9-r2c9-r2c8-r2c7-r2c6-r3c6
102/727 FEASIBLE 0.3s (4, 2) r1c9-r2c9-r2c8-r3c8-r4c8-r4c9
103/727 FEASIBLE 0.7s (4, 2) r1c9-r2c9-r2c8-r3c8-r4c8-r5c8
104/727 FEASIBLE 0.4s (4, 2) r1c9-r2c9-r3c9-r3c8-r4c8-r4c9
105/727 FEASIBLE 0.4s (4, 2) r1c9-r2c9-r3c9-r3c8-r4c8-r5c8
106/727 FEASIBLE 0.5s (3, 3) r1c9-r2c9-r3c9-r4c9-r4c8-r5c8
107/727 FEASIBLE 0.5s (3, 3) r1c9-r2c9-r3c9-r4c9-r5c9-r5c8
108/727 infeasible 0.3s (3, 3) r1c9-r2c9-r3c9-r4c9-r5c9-r6c9
109/727 infeasible 0.2s (4, 2) r2c1-r2c2-r3c2-r3c1-r4c1-r4c2
110/727 infeasible 0.2s (4, 2) r2c1-r2c2-r3c2-r3c1-r4c1-r5c1
111/727 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r4c1-r5c1
112/727 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r4c3-r5c3
113/727 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r5c2-r5c1
114/727 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r5c2-r5c3
115/727 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r5c2-r6c2
116/727 infeasible 0.2s (3, 3) r2c1-r3c1-r3c2-r4c2-r4c1-r5c1
117/727 infeasible 0.2s (3, 3) r2c1-r3c1-r3c2-r4c2-r4c3-r5c3
