64/1021 infeasible 0.2s (4, 2) r2c1-r2c2-r3c2-r3c3-r4c3-r5c3
65/1021 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r4c1-r5c1
66/1021 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r4c3-r5c3
67/1021 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r5c2-r5c1
68/1021 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r5c2-r5c3
69/1021 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r5c2-r6c2
70/1021 infeasible 0.2s (4, 2) r2c1-r3c1-r3c2-r3c3-r3c4-r3c5
71/1021 infeasible 0.2s (4, 2) r2c1-r3c1-r3c2-r3c3-r4c3-r4c2
72/1021 infeasible 0.2s (4, 2) r2c1-r3c1-r3c2-r3c3-r4c3-r5c3
73/1021 infeasible 0.2s (3, 3) r2c1-r3c1-r3c2-r4c2-r4c1-r5c1
74/1021 infeasible 0.2s (3, 3) r2c1-r3c1-r3c2-r4c2-r4c3-r5c3
75/1021 infeasible 0.2s (3, 3) r2c1-r3c1-r3c2-r4c2-r5c2-r5c1
76/1021 infeasible 0.2s (3, 3) r2c1-r3c1-r3c2-r4c2-r5c2-r5c3
77/1021 infeasible 0.2s (3, 3) r2c1-r3c1-r3c2-r4c2-r5c2-r6c2
78/1021 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r4c2-r4c3-r5c3
79/1021 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r4c2-r5c2-r5c1
80/1021 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r4c2-r5c2-r5c3
81/1021 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r4c2-r5c2-r6c2
82/1021 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r5c1-r5c2-r4c2
83/1021 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r5c1-r5c2-r5c3
84/1021 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r5c1-r5c2-r6c2
85/1021 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r5c1-r6c1-r6c2
86/1021 infeasible 0.2s (4, 2) r2c2-r2c1-r3c1-r3c2-r4c2-r4c1
87/1021 infeasible 0.2s (4, 2) r2c2-r2c1-r3c1-r3c2-r4c2-r4c3
88/1021 infeasible 0.2s (4, 2) r2c2-r2c1-r3c1-r3c2-r4c2-r5c2
89/1021 infeasible 0.2s (3, 3) r2c2-r2c1-r3c1-r4c1-r4c2-r4c3
90/1021 infeasible 0.2s (3, 3) r2c2-r2c1-r3c1-r4c1-r4c2-r5c2
91/1021 infeasible 0.2s (3, 3) r2c2-r2c1-r3c1-r4c1-r5c1-r5c2
92/1021 infeasible 0.2s (3, 3) r2c2-r2c1-r3c1-r4c1-r5c1-r6c1
93/1021 infeasible 0.2s (3, 3) r2c2-r3c2-r3c1-r4c1-r4c2-r4c3
94/1021 infeasible 0.2s (3, 3) r2c2-r3c2-r3c1-r4c1-r4c2-r5c2
95/1021 infeasible 0.2s (3, 3) r2c2-r3c2-r3c1-r4c1-r5c1-r5c2
96/1021 infeasible 0.2s (3, 3) r2c2-r3c2-r3c1-r4c1-r5c1-r6c1
97/1021 infeasible 0.2s (3, 3) r2c2-r3c2-r3c3-r3c4-r3c5-r3c6
98/1021 infeasible 0.2s (3, 3) r2c2-r3c2-r3c3-r4c3-r4c2-r4c1
99/1021 infeasible 0.2s (3, 3) r2c2-r3c2-r3c3-r4c3-r4c2-r5c2
100/1021 infeasible 0.2s (3, 3) r2c2-r3c2-r3c3-r4c3-r5c3-r5c2
101/1021 infeasible 0.2s (3, 3) r2c2-r3c2-r3c3-r4c3-r5c3-r6c3
102/1021 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r4c1-r5c1-r5c2
103/1021 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r4c1-r5c1-r6c1
104/1021 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r4c3-r5c3-r5c2
105/1021 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r4c3-r5c3-r6c3
106/1021 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r5c1-r4c1
107/1021 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r5c1-r6c1
108/1021 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r5c3-r4c3
109/1021 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r5c3-r6c3
110/1021 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r6c2-r6c1
111/1021 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r6c2-r6c3
112/1021 infeasible 0.2s (2, 4) r2c6-r1c6-r1c7-r1c8-r1c9-r2c9
113/1021 infeasible 0.3s (2, 4) r2c6-r1c6-r1c7-r1c8-r2c8-r2c7
114/1021 infeasible 0.2s (2, 4) r2c6-r1c6-r1c7-r1c8-r2c8-r2c9
115/1021 infeasible 0.3s (2, 4) r2c6-r1c6-r1c7-r1c8-r2c8-r3c8
116/1021 infeasible 0.2s (2, 4) r2c6-r1c6-r1c7-r2c7-r2c8-r2c9
117/1021 infeasible 0.3s (2, 4) r2c6-r1c6-r1c7-r2c7-r2c8-r3c8
118/1021 infeasible 0.4s (2, 4) r2c6-r1c6-r1c7-r2c7-r3c7-r3c8
119/1021 infeasible 0.3s (1, 4, 1) r2c6-r2c7-r2c8-r3c8-r3c7-r3c6
120/1021 infeasible 0.2s (4, 2) r2c6-r3c6-r3c5-r3c4-r3c3-r3c2
121/1021 infeasible 0.0s (4, 1, 1) r2c6-r3c6-r3c5-r3c4-r3c3-r4c3
122/1021 infeasible 0.3s (2, 4) r2c6-r3c6-r3c7-r2c7-r2c8-r2c9
123/1021 infeasible 0.3s (2, 4) r2c6-r3c6-r3c7-r2c7-r2c8-r3c8
124/1021 infeasible 0.3s (2, 4) r2c6-r3c6-r3c7-r3c8-r2c8-r2c7
125/1021 infeasible 0.3s (2, 4) r2c6-r3c6-r3c7-r3c8-r2c8-r2c9
126/1021 infeasible 0.3s (2, 4) r2c6-r3c6-r3c7-r3c8-r3c9-r2c9
127/1021 infeasible 0.2s (2, 4) r2c7-r1c7-r1c6-r2c6-r3c6-r3c5
128/1021 infeasible 0.0s (1, 4, 1) r2c7-r2c6-r3c6-r3c5-r3c4-r3c3
129/1021 infeasible 0.3s (4, 2) r2c7-r2c8-r3c8-r3c7-r3c6-r3c5
130/1021 infeasible 0.3s (3, 3) r2c8-r1c8-r1c7-r1c6-r2c6-r3c6
131/1021 infeasible 0.3s (4, 2) r2c8-r1c8-r1c7-r2c7-r2c6-r3c6
132/1021 infeasible 0.3s (3, 3) r2c8-r2c7-r1c7-r1c6-r2c6-r3c6
133/1021 infeasible 0.2s (2, 4) r2c8-r2c7-r2c6-r3c6-r3c5-r3c4
134/1021 infeasible 0.4s (3, 3) r2c8-r2c7-r3c7-r3c6-r3c5-r3c4
135/1021 infeasible 0.3s (4, 2) r2c8-r3c8-r3c7-r2c7-r2c6-r3c6
136/1021 infeasible 0.3s (3, 3) r2c8-r3c8-r3c7-r3c6-r3c5-r3c4
137/1021 infeasible 0.3s (3, 3) r2c9-r2c8-r2c7-r2c6-r3c6-r3c5
138/1021 infeasible 0.3s (4, 2) r2c9-r2c8-r2c7-r3c7-r3c6-r3c5
139/1021 infeasible 0.4s (4, 2) r2c9-r2c8-r3c8-r3c7-r3c6-r3c5
140/1021 infeasible 0.3s (4, 2) r2c9-r3c9-r3c8-r3c7-r3c6-r3c5
141/1021 infeasible 0.2s (4, 2) r3c1-r2c1-r2c2-r3c2-r4c2-r4c1
142/1021 infeasible 0.2s (4, 2) r3c1-r2c1-r2c2-r3c2-r4c2-r4c3
143/1021 infeasible 0.3s (4, 2) r3c1-r2c1-r2c2-r3c2-r4c2-r5c2
144/1021 infeasible 0.2s (3, 3) r3c1-r3c2-r3c3-r3c4-r3c5-r3c6
145/1021 infeasible 0.2s (3, 3) r3c1-r3c2-r3c3-r4c3-r4c2-r4c1
146/1021 infeasible 0.2s (3, 3) r3c1-r3c2-r3c3-r4c3-r4c2-r5c2
147/1021 infeasible 0.2s (3, 3) r3c1-r3c2-r3c3-r4c3-r5c3-r5c2
148/1021 infeasible 0.2s (3, 3) r3c1-r3c2-r3c3-r4c3-r5c3-r6c3
149/1021 infeasible 0.2s (2, 4) r3c1-r3c2-r4c2-r4c1-r5c1-r5c2
150/1021 infeasible 0.2s (2, 4) r3c1-r3c2-r4c2-r4c1-r5c1-r6c1
151/1021 infeasible 0.2s (2, 4) r3c1-r3c2-r4c2-r4c3-r5c3-r5c2
152/1021 infeasible 0.2s (2, 4) r3c1-r3c2-r4c2-r4c3-r5c3-r6c3
153/1021 infeasible 0.2s (2, 4) r3c1-r3c2-r4c2-r5c2-r5c1-r4c1
154/1021 infeasible 0.2s (2, 4) r3c1-r3c2-r4c2-r5c2-r5c1-r6c1
155/1021 infeasible 0.2s (2, 4) r3c1-r3c2-r4c2-r5c2-r5c3-r4c3
156/1021 infeasible 0.2s (2, 4) r3c1-r3c2-r4c2-r5c2-r5c3-r6c3
157/1021 infeasible 0.2s (2, 4) r3c1-r3c2-r4c2-r5c2-r6c2-r6c1
158/1021 infeasible 0.2s (2, 4) r3c1-r3c2-r4c2-r5c2-r6c2-r6c3
159/1021 infeasible 0.2s (1, 4, 1) r3c1-r4c1-r4c2-r4c3-r5c3-r5c4
160/1021 infeasible 0.2s (1, 4, 1) r3c1-r4c1-r4c2-r5c2-r5c3-r5c4
161/1021 infeasible 0.3s (1, 4, 1) r3c1-r4c1-r4c2-r5c2-r6c2-r7c2
162/1021 infeasible 0.2s (1, 4, 1) r3c1-r4c1-r5c1-r5c2-r4c2-r3c2
163/1021 infeasible 0.2s (1, 4, 1) r3c1-r4c1-r5c1-r5c2-r5c3-r5c4
164/1021 infeasible 0.2s (1, 4, 1) r3c1-r4c1-r5c1-r5c2-r6c2-r7c2
165/1021 infeasible 0.2s (1, 4, 1) r3c1-r4c1-r5c1-r6c1-r6c2-r7c2
166/1021 infeasible 0.2s (4, 2) r3c2-r2c2-r2c1-r3c1-r4c1-r4c2
167/1021 infeasible 0.2s (4, 2) r3c2-r2c2-r2c1-r3c1-r4c1-r5c1
168/1021 infeasible 0.2s (2, 4) r3c2-r3c1-r4c1-r4c2-r4c3-r5c3
169/1021 infeasible 0.2s (2, 4) r3c2-r3c1-r4c1-r4c2-r5c2-r5c1
