1/798 infeasible 0.2s (3, 3) r1c1-r1c2-r1c3-r1c4-r1c5-r1c6
2/798 infeasible 0.2s (4, 2) r1c1-r1c2-r2c2-r3c2-r4c2-r4c1
3/798 infeasible 0.2s (4, 2) r1c1-r1c2-r2c2-r3c2-r4c2-r4c3
4/798 infeasible 0.2s (4, 2) r1c1-r1c2-r2c2-r3c2-r4c2-r5c2
5/798 infeasible 0.2s (4, 2) r1c1-r2c1-r2c2-r3c2-r4c2-r4c1
6/798 infeasible 0.2s (4, 2) r1c1-r2c1-r2c2-r3c2-r4c2-r4c3
7/798 infeasible 0.3s (4, 2) r1c1-r2c1-r2c2-r3c2-r4c2-r5c2
8/798 infeasible 0.2s (4, 2) r1c1-r2c1-r3c1-r3c2-r4c2-r4c1
9/798 infeasible 0.2s (4, 2) r1c1-r2c1-r3c1-r3c2-r4c2-r4c3
10/798 infeasible 0.3s (4, 2) r1c1-r2c1-r3c1-r3c2-r4c2-r5c2
11/798 infeasible 0.4s (3, 3) r1c1-r2c1-r3c1-r4c1-r4c2-r4c3
12/798 infeasible 0.3s (3, 3) r1c1-r2c1-r3c1-r4c1-r4c2-r5c2
13/798 infeasible 0.2s (3, 3) r1c1-r2c1-r3c1-r4c1-r5c1-r5c2
14/798 infeasible 0.2s (3, 3) r1c1-r2c1-r3c1-r4c1-r5c1-r6c1
15/798 infeasible 0.2s (4, 2) r1c2-r1c1-r2c1-r3c1-r4c1-r4c2
16/798 infeasible 0.2s (4, 2) r1c2-r1c1-r2c1-r3c1-r4c1-r5c1
17/798 infeasible 0.2s (2, 4) r1c2-r1c3-r1c4-r1c5-r1c6-r2c6
18/798 infeasible 0.2s (4, 2) r1c2-r2c2-r2c1-r3c1-r4c1-r4c2
19/798 infeasible 0.2s (4, 2) r1c2-r2c2-r2c1-r3c1-r4c1-r5c1
20/798 infeasible 0.2s (4, 2) r1c2-r2c2-r3c2-r3c1-r4c1-r4c2
21/798 infeasible 0.2s (4, 2) r1c2-r2c2-r3c2-r3c1-r4c1-r5c1
22/798 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r4c1-r5c1
23/798 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r4c3-r5c3
24/798 infeasible 0.3s (3, 3) r1c2-r2c2-r3c2-r4c2-r5c2-r5c1
25/798 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r5c2-r5c3
26/798 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r5c2-r6c2
27/798 infeasible 0.2s (4, 2) r1c3-r1c2-r2c2-r3c2-r4c2-r4c1
28/798 infeasible 0.2s (4, 2) r1c3-r1c2-r2c2-r3c2-r4c2-r4c3
29/798 infeasible 0.2s (4, 2) r1c3-r1c2-r2c2-r3c2-r4c2-r5c2
30/798 infeasible 0.0s (1, 4, 1) r1c3-r1c4-r1c5-r1c6-r2c6-r2c7
31/798 infeasible 0.2s (1, 4, 1) r1c4-r1c3-r1c2-r2c2-r3c2-r4c2
32/798 infeasible 0.3s (3, 3) r1c4-r1c5-r1c6-r1c7-r1c8-r1c9
33/798 infeasible 0.4s (3, 3) r1c4-r1c5-r1c6-r1c7-r1c8-r2c8
34/798 infeasible 0.2s (3, 3) r1c4-r1c5-r1c6-r1c7-r2c7-r2c8
35/798 infeasible 0.2s (3, 3) r1c4-r1c5-r1c6-r1c7-r2c7-r3c7
36/798 infeasible 0.2s (4, 2) r1c4-r1c5-r1c6-r2c6-r2c7-r1c7
37/798 infeasible 0.2s (4, 2) r1c4-r1c5-r1c6-r2c6-r2c7-r2c8
38/798 infeasible 0.2s (4, 2) r1c4-r1c5-r1c6-r2c6-r2c7-r3c7
